ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,xcoord,ycoord,zcoord
MH,"78020","3120",NZ29433704,CH,S,"78820",429318.958,543720.971,79.2443178684204
MH,"76580","2950",NZ29433705,CH,S,"78460",429352.971,543760.948,78.6881173284674
MH,"79200","1426",NZ29433703,CH,S,"78790",429356.465,543717.724,79.6331120526307
Null,"75600","2260",NZ29433701,OF,S,"76670",429361.278,543777.879,78.911642076642
MH,"76680","3320",NZ29433707,CH,S,"77850",429361.455,543773.784,78.8947602335768
MH,"76920",,NZ29433706,CH,S,"78010",429361.747,543767.023,78.8668836970801
Null,,,NZ2943P005,SPS,F,"77960",429366.023,543773.388,78.9705259416058
MH,"79350","1416",NZ29433702,CH,S,"79190",429371.602,543712.306,79.8897918421058
Null,,,NZ2943P006,ZZZ,F,"78470",429376.727,543752.293,79.0500996459854
MH,,,NZ2943P004,CH,F,"78970",429377.576,543797.028,79.281846452555
MH,,,NZ2943P009,CH,S,"78800",429379.352,543792.926,79.2921252773724
MH,,,NZ2943P003,CH,F,"79100",429394.261,543856.164,78.6645596657226
MH,,,NZ2943P007,CH,S,"79140",429394.99,543848.658,78.7953735184127
MH,"79700","1426",NZ29433602,CH,S,"79260",429395.973,543691.615,80.5937467631581
CP,,,NZ2943P008,CH,S,"79090",429398.312,543849.387,78.7644647025499
MH,,,NZ2943P002,CH,F,"78820",429422.068,543848.418,78.6543959206807
MH,,,NZ2943P010,CH,S,"78610",429432.162,543778.284,79.8555598730161
MH,,,NZ2943P001,CH,F,"78610",429440.202,543843.399,78.6471851218135
MH,,,NZ2943P011,CH,S,"78500",429454.047,543845.225,78.5401257280456
MH,,,NZ2943P013,CH,S,"78480",429471.616,543868.343,78.5703801773253
MH,,,NZ2943P012,CH,S,"78400",429476.201,543886.813,78.4260345813958
Null,,,NZ2943P017,OF,S,"76940",429493.559,543938.242,78.1125313633726
HC,,,NZ2943P016,CH,S,"77850",429495.074,543922.276,78.3428149476754
OI,,,NZ2943P015,CH,S,"78030",429495.446,543917.629,78.4085124796516
MH,,,NZ2943P014,CH,S,"78210",429495.873,543912.995,78.4751054941865
Null,,,NZ2943P020,OF,S,"80890",429661.048,543862.153,80.9782663437496
CP,,,NZ2943P019,CH,S,"81050",429666.197,543862.428,81.0269290000003
MH,,"1880",NZ29431604,CH,F,"76960",429108.25,543656.964,77.4031656963345
MH,,"1670",NZ29431701,CH,F,"75920",429111,543738,74.8261785714286
MH,,,NZ29431603,CH,F,"77900",429112,543623,78.1054607329843
MH,,"1890",NZ29431601,CH,F,"78900",429126.339,543607.695,78.9806141047119
MH,,,NZ29431609,CH,S,"79230",429139,543603,79.6140052356021
MH,,,NZ29431501,CH,F,"80250",429142.469,543577.244,80.1741941989529
MH,,"2380",NZ29431605,CH,F,"79110",429145.997,543686.276,78.287505662163
MH,,,NZ29431612,CH,F,"79380",429154.092,543661.263,78.9954539932424
MH,,,NZ29431704,CH,F,"77160",429161.393,543749.405,76.6600998928526
MH,,,NZ29431613,CH,F,"79250",429162.497,543696.1,78.2304487432435
MH,,,NZ29431702,CH,F,"78420",429164.045,543724.081,77.5575713445943
MH,,,NZ29431615,CH,S,"79530",429165.209,543685.151,78.5310037635143
MH,,,NZ29431607,CH,F,"79470",429165.934,543626.176,79.9939948108115
MH,,,NZ29431705,CH,S,"78890",429166.426,543713.574,77.8435056621614
MH,,,NZ29431614,CH,F,"79530",429168.527,543686.589,78.5327901013505
MH,,,NZ29431703,CH,F,"77610",429169.688,543744.761,77.1107874662151
MH,,"1850",NZ29431606,CH,F,"79310",429170.011,543658.207,79.2496082770257
MH,,,NZ29431611,CH,F,"79640",429175.879,543655.291,79.3874388986496
MH,,,NZ29431608,CH,F,"79970",429181,543607,80.6362331081081
MH,,,NZ29431610,CH,S,"79370",429185,543617,80.4344628378378
MH,,,NZ29432606,CH,F,"80780",429215.5,543601,81.1716722972973
MH,,,NZ29432612,CH,F,"80270",429217.632,543673.207,79.4143454527012
MH,,,NZ29432613,CH,S,"80270",429219.292,543670.338,79.5037619324329
MH,,,NZ29432611,CH,F,"79920",429221.06,543685.925,79.1391016554042
MH,,,NZ29432701,CH,F,"78810",429230.24,543720.984,78.3773229459445
MH,,,NZ29432702,CH,S,"78810",429233.005,543721.648,78.3919929864854
MH,,,NZ29432501,CH,F,"81510",429237,543589.5,81.6968040540541
MH,,,NZ29432604,CH,S,"81260",429244,543600,81.5163885135135
MH,"81024","4143",NZ29432506,CH,S,"81470",429246.505,543594.509,81.6799760202713
MH,,"1980",NZ29432602,CH,F,"81010",429249.364,543618.543,81.1191890202716
MH,,,NZ29432605,CH,S,"81030",429251,543616,81.2002939189189
MH,,,NZ29434502,CH,S,"83320",429482,543538.5,83.8108699658196
MH,,"1430",NZ29433504,CH,F,"83210",429374.555,543538.53,83.9831132293055
MH,,"1510",NZ29433506,CH,F,"82970",429378.135,543553.275,83.7195197131813
MH,,,NZ29435501,CH,F,"83160",429501.5,543555,83.4909890028236
MH,,"1600",NZ29434503,CH,S,"83010",429403.313,543556.86,83.616345605588
MH,"82484","4078",NZ29432505,CH,S,"82160",429270,543560,82.7496710526316
HC,"82002","1740",NZ29433515,CH,S,"82790",429377,543563,83.5512894932382
MH,,,NZ29433517,CH,S,"82700",429377.713,543565.929,83.4957082894735
MH,,"1340",NZ29434501,CH,F,"82830",429441.544,543569.478,83.3342280534997
MH,"82064","2610",NZ29433516,CH,S,"82160",429316.5,543575,82.7695657894737
MH,,"2080",NZ29433511,CH,S,"82460",429381.583,543582.63,83.1220282105261
MH,,"1460",NZ29433503,CH,F,"82490",429385.271,543583.437,83.1329011315782
MH,,"2090",NZ29433512,CH,S,"82430",429375.075,543584.193,83.0302871315798
MH,,,NZ29433514,CH,F,"82070",429345.517,543593.46,82.5609541578956
MH,,"1730",NZ29432603,CH,F,"81240",429270.256,543613.465,81.4531497105271
MH,,,NZ29432608,CH,F,"81060",429257.025,543616.68,81.2511781756747
MH,,"1340",NZ29433603,CH,C,"81280",429307.737,543620.696,81.5872239473687
MH,,"1400",NZ29432609,CH,C,"81000",429278.941,543627.751,81.1779158157882
MH,,"1350",NZ29432610,CH,C,"80880",429260.111,543632.336,80.8996165270265
Null,,,NZ29432615,CE,S,"80030",429268.091,543657.048,80.3766518421066
HC,,,NZ29432614,CH,S,"80150",429261.317,543658.94,80.2568676621604
MH,"80150","1436",NZ29433601,CH,S,"80130",429363.634,543659.207,81.1136977631568
MH,"78711","3220",NZ29432607,CH,S,"78820",429278.19,543685.19,79.7765471052617
MH,,,NZ28439414,CH,F,"79900",428950.221,543469.465,78.3216935979228
MH,,,NZ28439409,CH,S,"78720",428955.5,543498,77.3630752188184
MH,,,NZ28439408,CH,F,"78970",428956,543490,77.6657792669584
MH,,,NZ28439403,CH,S,"81120",428956,543427,79.9820631838074
MH,,,NZ28439413,CH,F,"80130",428960.845,543464.618,78.6820543369792
MH,,,NZ28439405,CH,F,"80840",428964.5,543435,79.8336687636762
MH,,,NZ28439503,CH,F,"75790",428965.925,543559.257,75.2896171427794
MH,,"1360",NZ28439602,CH,S,"70500",428980.299,543675.29,70.9805968214263
MH,,"960",NZ28439603,CH,F,"71870",428987.009,543652.37,72.3209595
MH,,,NZ28439412,CH,F,"81840",428992.718,543450.077,79.7631536996699
MH,,,NZ28439610,CH,S,"73730",428995.541,543615.97,73.7122652035026
Null,,,NZ28439411,ZZZ,F,"80900",428996.941,543471.149,79.0608173856681
Null,,,NZ28439410,ZZZ,S,"80570",428997.353,543479.106,78.7753310021872
Null,,,NZ28439507,ZZZ,F,"78530",428998.123,543515.834,77.4381762910276
Null,,,NZ29430507,ZZZ,S,"76910",429002.016,543543.825,76.475795157004
MH,,"2380",NZ29430603,CH,F,"70640",429005.761,543694.239,69.6250879812535
MH,,,NZ29430401,CH,F,"82630",429017,543439,80.5867426148797
MH,,,NZ29430605,CH,F,"74000",429025,543607,74.5471496170678
MH,,,NZ29430404,CH,S,"81320",429026.715,543471.09,79.5734771444218
MH,,,NZ29430606,CH,F,"74180",429036,543637,74.5275130890052
MH,,,NZ29430506,CH,S,"76810",429040,543572.5,76.072773522976
MH,,,NZ29430607,CH,F,"72320",429043.796,543682.526,72.6600517142885
MH,,,NZ29430701,CH,F,"71210",429050.589,543711.721,70.2894123312479
MH,,,NZ29430403,CH,F,"81900",429056,543462.5,80.3914070021882
MH,,,NZ29430501,CH,F,"77420",429064.62,543578.014,76.7236286282726
MH,,"1980",NZ29430601,CH,S,"74530",429066.5,543653,75.6218062827225
MH,,,NZ29430505,CH,S,"79620",429079,543542,77.9278167539267
MH,,"870",NZ29430602,CH,F,"75680",429093.961,543667.279,76.6090679267023
MH,,,NZ29430604,CH,F,"76970",429096.595,543636.051,77.2188403246064
MH,,"1600",NZ29430503,CH,F,"80400",429098.985,543522.173,79.1237923874347
MH,,,NZ29430502,CH,F,"78670",429099.5,543577,78.2802146596859
MH,,,NZ28438509,CH,S,"74220",428848.136,543513.674,75.7421055
MH,,,NZ28438403,CH,F,"78390",428849,543437,77.77982904814
MH,,,NZ28438405,CH,S,"79150",428856.5,543423.5,78.4047669584245
MH,,,NZ28438505,CH,S,"73970",428869.514,543530.018,75.3882089999991
MH,,,NZ28438301,CH,F,"81840",428872,543353,81.2625544310722
MH,,"1810",NZ28438507,CH,F,"74920",428875.056,543523.192,75.575805999999
MH,,,NZ28438512,CH,F,"73970",428878.48,543543.969,75.0606027499989
MH,,,NZ28438508,CH,F,"76290",428880.007,543501.504,76.137043250001
MH,,,NZ28438302,CH,S,"82190",428880.5,543350,81.518590536105
MH,,,NZ28438503,CH,F,"73070",428882.046,543565.612,74.5239235000008
MH,,,NZ28438406,CH,F,"78410",428882.259,543462.802,77.4014247592992
MH,,,NZ28438502,CH,F,"72640",428887.707,543583.569,74.0860769999995
MH,,,NZ28438409,CH,S,"78570",428889,543464,77.4729565098468
MH,,"1390",NZ28438410,CH,F,"77860",428889.5,543475,77.0770987417943
MH,,,NZ28438303,CH,F,"81010",428892,543392,80.1715746717724
MH,,,NZ28438501,CH,F,"72710",428896.343,543587.299,74.0156435
MH,,,NZ28439304,CH,S,"81240",428901,543394,80.2523514770241
MH,,,NZ28439303,CH,F,"81990",428902,543373,81.0415916301969
MH,,,NZ28439505,CH,F,"76830",428905.036,543512.997,75.9464581176162
MH,,,NZ28439502,CH,F,"73660",428907.544,543565.923,74.5861902500012
MH,,,NZ28439415,CH,F,"78320",428915.868,543485.137,77.1564905486878
MH,,,NZ28439305,CH,S,"82170",428920,543382,81.0193131838074
MH,,,NZ28439302,CH,F,"81910",428924,543389,80.8305303610503
MH,,,NZ28439404,CH,F,"80300",428924,543440,78.955443380744
MH,,"2100",NZ28439504,CH,S,"75800",428924.814,543536.367,75.4263310640057
MH,,,NZ28439407,CH,S,"79970",428936,543460.5,78.4074781181619
MH,,"3190",NZ28439501,CH,S,"73620",428940.245,543580.105,74.3180225000005
MH,,,NZ28439402,CH,S,"81320",428941,543406,80.4969751094092
MH,,,NZ28439401,CH,F,"81570",428942,543403,80.6244198577681
MH,,,NZ28439406,CH,F,"80290",428945,543446,79.0949007111597
MH,,,NZ28439506,CH,S,"78260",428947.601,543501.492,77.099254493437
MH,,,NZ29433502,CH,S,"83390",429370,543525,84.2270285332145
MH,,"1480",NZ29433405,CH,F,"84380",429371,543400,86.411220835191
MH,,"2060",NZ29433509,CH,F,"83480",429372,543522,84.2762718085897
MH,"86439","3520",NZ29433312,CH,S,"86060",429378,543345,87.3511089855072
MH,,"1180",NZ29433403,CH,F,"84290",429380,543457,85.4000242235102
MH,,"1400",NZ29433406,CH,F,"84560",429381,543408,86.2552499628474
MH,,"1170",NZ29433409,CH,S,"84190",429384.303,543466.711,85.2232946966858
Null,,,NZ29433423,CE,S,"84700",429384.516,543403.309,86.3316250685093
MH,"83964","3260",NZ29433422,CH,S,"84110",429385.021,543470.556,85.154904961213
MH,"84466","2399",NZ29433418,CH,S,"84790",429386,543400.5,86.3783581512855
MH,,,NZ29433305,CH,F,"86260",429387,543355.5,87.1636382820627
MH,"84288","2695",NZ29433419,CH,S,"84360",429389.214,543427.198,85.9063381857636
MH,,,NZ29433411,CH,F,"84030",429393,543477,85.0293926289196
MH,,"1420",NZ29433407,CH,F,"84430",429394,543414,86.1294279982167
MH,,,NZ29433408,CH,F,"84420",429397,543438.5,85.6961872492198
MH,,,NZ29434306,CH,S,"87140",429430.5,543345,87.264248115942
MH,,,NZ29434303,CH,F,"86140",429437,543376,86.7247687620746
MH,,"680",NZ29434410,CH,F,"84260",429437.367,543434.973,85.6929530453262
MH,,"870",NZ29434403,CH,F,"84270",429441,543429,85.7915575865656
MH,,,NZ29434304,CH,S,"86710",429445,543363,86.9392282657156
Null,,,NZ29434412,CE,S,"83800",429446.281,543473.116,85.0116358038335
MH,,,NZ29434405,CH,S,"84300",429447,543420,85.9392874126913
MH,"84605","3410",NZ29434411,CH,S,"83740",429449.085,543476.849,84.94185032932
MH,,,NZ29434408,CH,S,"83800",429449.165,543473.368,85.0025918579281
MH,,,NZ29434404,CH,F,"84160",429456,543431,85.7324652994501
MH,,,NZ29434401,CH,F,"83760",429458,543482.5,84.8286996581959
MH,,"1740",NZ29434402,CH,F,"83930",429468,543468,85.0661728340021
MH,,,NZ29434305,CH,S,"87460",429471.5,543348.5,87.1402597101449
MH,,,NZ29434409,CH,F,"84820",429496,543417,85.9129563085154
MH,,,NZ29434406,CH,S,"85230",429497,543407,86.0862123643929
MH,,"1410",NZ29435404,CH,S,"84080",429519,543471,84.9317073859415
MH,,,NZ29432502,CH,F,"82570",429262,543537.5,83.2300789473684
MH,,,NZ29432404,CH,F,"84250",429268,543451,85.3806973684211
MH,,,NZ29432302,CH,F,"86370",429269,543374,87.0298797741121
MH,,,NZ29432303,CH,F,"85560",429269.5,543391,86.731806954971
MH,"83580","3503",NZ29432410,CH,S,"83930",429274,543468,85.0173552631579
MH,,,NZ29432503,CH,F,"82650",429275.5,543538,83.3294868421053
MH,,,NZ29432307,CH,S,"87370",429276.5,543341,87.5832162318841
MH,"84044","3846",NZ29432409,CH,S,"84260",429276.916,543429.347,85.9803116578962
MH,"84986","1920",NZ29432408,CH,S,"85100",429278.5,543401.5,86.5337280427998
Null,,,NZ29432411,CE,S,"85140",429280.13,543404.278,86.4825298338526
MH,,,NZ29432402,CH,F,"84310",429282.5,543454,85.4276447368421
MH,,,NZ29432407,CH,S,"84270",429283,543427,86.0805889433794
MH,,,NZ29432306,CH,F,"85810",429285,543377,86.9516931193342
MH,,,NZ29432401,CH,F,"84460",429288,543424,86.1250083221876
MH,,,NZ29433401,CH,F,"84450",429317.5,543452,85.587954079358
MH,,,NZ29433513,CH,F,"83540",429321,543502,84.5798815789474
MH,,,NZ29433301,CH,F,"87040",429329,543342,87.4803113043478
MH,,"1460",NZ29433510,CH,S,"83420",429331.5,543510,84.4723289473684
MH,,,NZ29433402,CH,F,"84360",429335.5,543461,85.4016330806955
MH,,"1470",NZ29433417,CH,S,"84000",429336,543484,84.9986418487145
MH,,,NZ29433306,CH,S,"86560",429337,543345,87.4189431884058
MH,,,NZ29433501,CH,F,"83550",429339.179,543508.977,84.5567722600691
MH,,,NZ29433302,CH,F,"84250",429341.5,543392.5,86.5898038341507
MH,"83730","1560",NZ29433421,CH,S,"84300",429341.762,543466.031,85.3035899114289
Null,,,NZ29433424,CE,S,"84390",429342.193,543464.39,85.3315920641995
MH,"84084","3580",NZ29433420,CH,S,"84480",429344.241,543457.374,85.450983548225
MH,,,NZ29433416,CH,F,"84120",429344.5,543477,85.1073789567544
MH,,,NZ29433307,CH,S,"84000",429345,543386,86.6978375687324
MH,,,NZ29433413,CH,S,"84530",429345.835,543453.33,85.5191354614363
MH,,,NZ29433404,CH,F,"84570",429349.17,543448.17,85.6040027314601
MH,,"1900",NZ29433415,CH,F,"84400",429350,543464.5,85.3171151731312
MH,,,NZ29432208,CH,S,"89320",429247.678,543218.929,88.8998273836806
Null,,,NZ29432205,ZZZ,S,"88270",429248.988,543263.919,88.4741521464122
Null,,,NZ29432206,ZZZ,F,"88260",429260.634,543254.866,88.6212164618053
HC,,,NZ29432210,CH,S,"89180",429262.238,543220.094,88.963704765046
Null,,,NZ29432215,ZZZ,F,"87690",429264.22,543274.067,88.4551527181711
Null,,,NZ29432217,ZZZ,S,"88260",429264.992,543253.839,88.6535586047452
MH,,"900",NZ29432213,CH,S,"87970",429265.119,543264.201,88.5546171186343
MH,,"1830",NZ29432207,CH,F,"87930",429266.9,543266.919,88.5376758269678
MH,,"1150",NZ29432214,CH,F,"87610",429266.902,543270.579,88.5025073547451
MH,,,NZ29432108,CH,S,"90800",429267.172,543179.764,89.3767851527782
MH,,"2920",NZ29432105,CH,S,"90840",429267.731,543157.758,89.5911823425924
MH,,"860",NZ29432204,CH,S,"87970",429267.731,543264.247,88.5676431059032
Null,,,NZ29432216,J,F,"87930",429269.483,543266.996,88.5502543206015
MH,,,NZ29432107,CH,F,"90750",429270.15,543177.566,89.4132669594909
MH,,"1800",NZ29432106,CH,F,"90840",429270.25,543159.53,89.5871390219905
MH,,"1850",NZ29432201,CH,F,"88070",429270.5,543267,88.5554597800926
MH,,,NZ29432218,CH,S,"89200",429270.689,543220.612,89.0023013784726
MH,,,NZ29432301,CH,F,"87440",429272.5,543316,87.9909356521739
MH,,,NZ29433108,CH,C,"90140",429398.776,543170.179,90.1215735026086
MH,,,NZ29434211,CH,S,"89460",429402.5,543218,89.3481692753623
MH,,,NZ29434107,CH,C,"90360",429406.37,543157.226,90.3111531053238
MH,,,NZ29434206,CH,F,"88590",429407.5,543276,88.4093414492754
MH,,,NZ29434307,CH,S,"86820",429409.5,543340.5,87.3711907246377
MH,,,NZ29434108,CH,C,"90490",429410.863,543147.377,90.4289856695605
MH,,,NZ29434109,CH,C,"90630",429417.169,543135.151,90.5790135017365
MH,"88159","3958",NZ29434214,CH,S,"88680",429418.615,543283.3,88.2738301391297
MH,,,NZ29434205,CH,F,"89370",429421,543229,89.1410765217391
MH,,,NZ29434102,CH,C,"90810",429424.917,543122.86,90.7371014062502
MH,,,NZ29434302,CH,F,"87490",429426,543336,87.4160898550725
MH,,,NZ29434201,CH,F,"89540",429428,543214,89.370155942029
MH,,,NZ29434210,CH,S,"89440",429430,543224,89.2064063768116
MH,,,NZ29434104,CH,F,"90730",429440,543192,89.7032713043478
MH,,,NZ29434202,CH,F,"89600",429444,543214,89.343684057971
MH,"88740","4325",NZ29434215,CH,S,"88690",429444.081,543286.099,88.1867895084051
MH,,,NZ29434207,CH,F,"88620",429447,543292,88.087284057971
MH,,,NZ29434106,CH,S,"90920",429450,543187.5,89.7589246376812
MH,,"790",NZ29434111,CH,C,"91170",429450.247,543130.755,90.6689360475362
MH,,,NZ29434105,CH,F,"90510",429453,543196,89.6175866666667
MH,,,NZ29434301,CH,F,"87710",429475,543338,87.3029315942029
MH,,,NZ29434208,CH,F,"88730",429475,543294,88.0088701449275
MH,,"2160",NZ29434203,CH,F,"90780",429491,543224,89.1054823188406
MH,,,NZ29434103,CH,C,"92030",429491,543176,89.8755971014493
MH,,"1920",NZ29434204,CH,F,"89210",429494,543274,88.298315942029
MH,,,NZ29434110,CH,C,"92510",429498,543162,90.0886324637681
MH,,,NZ29434212,CH,S,"90480",429499,543236,88.8997176811594
MH,,,NZ29435209,CH,F,"88690",429501,543290,88.0300295652174
MH,,,NZ29435206,CH,F,"90080",429505.823,543240.167,88.821573487536
MH,"88503","3850",NZ29435211,CH,S,"88860",429506.362,543282.5,88.141488609855
MH,,,NZ29435102,CH,S,"91980",429507,543197,89.5122
HC,,"3000",NZ29432110,CH,S,"90630",429272.953,543187.224,89.3348902280087
MH,,"2450",NZ29432109,CH,F,"90550",429275.659,543186.889,89.3520629565975
MH,,"700",NZ29432202,CH,S,"88400",429280.594,543264.117,88.6352174693289
MH,,,NZ29432305,CH,F,"87320",429285,543339,87.6012411594203
MH,,,NZ29432101,CH,C,"90930",429291,543122.5,90.0500520833333
MH,,,NZ29432304,CH,F,"87240",429294,543315,87.971408115942
MH,,,NZ29432203,CH,S,"86990",429299.999,543295,88.2823639733333
MH,,,NZ29433212,CH,F,"88500",429301,543268,88.7031137152778
MH,,,NZ29433219,CH,S,"89330",429303,543221,89.1651756365741
MH,,"830",NZ29433216,CH,S,"88570",429306,543265,88.7537571014493
MH,,,NZ29433218,CH,S,"86970",429307.031,543286.466,88.4076495710142
MH,,,NZ29433211,CH,F,"86780",429309,543299,88.2032956521739
Null,,,NZ29433213,J,S,"86670",429313,543291,88.3250301449275
MH,,,NZ29433202,CH,F,"89440",429327.5,543212,89.3780089699074
MH,,,NZ29433203,CH,F,"89350",429327.5,543223,89.2722803819445
MH,,,NZ29433205,CH,F,"87760",429327.5,543277,88.5256568115942
MH,,,NZ29433204,CH,S,"89330",429333,543226.5,89.2669988425926
MH,,,NZ29433217,CH,S,"88460",429335,543258,88.8180852173913
MH,"86948","2260",NZ29433221,CH,S,"87330",429337.115,543284.565,88.3883755652183
MH,,,NZ29433208,CH,F,"89330",429341,543229,89.273435942029
MH,,,NZ29433206,CH,F,"87780",429342,543273.5,88.5578208695652
MH,,,NZ29433209,CH,F,"86900",429347,543291,88.2687773913044
MH,,,NZ29433101,CH,C,"90220",429356.123,543144.086,90.1783646157407
MH,,,NZ29433309,CH,F,"86200",429369.5,543332,87.5737449275362
MH,"87144","3134",NZ29433220,CH,S,"87640",429371.769,543283.088,88.3547378469568
MH,,,NZ29433104,CH,C,"90210",429373,543152,90.1893197337963
MH,,,NZ29433201,CH,F,"89690",429374,543213,89.4755426086957
MH,,,NZ29433207,CH,F,"87930",429377,543276,88.4598034782609
MH,,,NZ29433303,CH,F,"86530",429380.25,543320.75,87.7364547826087
MH,,,NZ29433210,CH,F,"87530",429381.5,543292,88.1956533333333
MH,,,NZ29433304,CH,F,"86320",429384,543334,87.5176666666667
MH,,"1430",NZ28439202,CH,C,"87090",428950,543211,86.6839019561069
MH,,,NZ29430101,CH,C,"89450",429009.373,543137.89,88.4499889583333
Null,,,NZ29430105,ZZZ,C,"89710",429038.359,543168.226,88.3078677986109
MH,,"1020",NZ29430102,CH,C,"90520",429051.069,543138.311,88.6609374369215
Null,,,NZ2943A002,ATC,C,"90410",429060.799,543157.484,88.5268228206013
Null,,,NZ2943A001,ATC,C,"90570",429061.274,543148.786,88.6128745173613
MH,,,NZ2943P021,CH,C,"90490",429063.872,543151.429,88.6008667586804
MH,,,NZ2943P022,CH,C,"90400",429065.289,543155.362,88.5703703888892
MH,,,NZ29430103,CH,F,"89570",429074,543178,88.3976970486111
MH,,,NZ29430104,CH,C,"90170",429086.5,543144,88.7889476273148
MH,,,NZ29431103,CH,F,"90570",429119,543154,88.8604088541667
MH,,,NZ29431106,CH,F,"90400",429136,543119,89.2844742476852
MH,,,NZ29431102,CH,F,"90450",429137,543143,89.0589499421296
MH,,,NZ29431101,CH,F,"90620",429171.5,543165,89.0253833912037
MH,,,NZ29431104,CH,F,"90640",429176,543124,89.4426657986111
MH,,,NZ29432209,CH,S,"89490",429212.149,543219.86,88.707682494213
MH,,,NZ29432103,CH,C,"90860",429213.5,543120,89.6744719328704
MH,,,NZ29432104,CH,S,"90860",429242.927,543157.758,89.4632867175924
MH,,,NZ29434007,CH,C,"91380",429471,543091,91.272431884058
MH,,,NZ29434008,CH,C,"91450",429480,543074,91.449873620309
MH,,,NZ29434112,CH,C,"91900",429493,543106,90.995372173913
MH,,"1130",NZ29434009,CH,C,"91260",429496.438,543038.773,90.9769403204289
MH,"91084","1794",NZ29434012,CH,C,"91250",429497.003,543024.089,90.7941716746298
MH,,,NZ29434010,CH,C,"91270",429497.19,543019.696,90.7394770049423
MH,,"1750",NZ29434011,CH,C,"91270",429497.926,543016.369,90.697527664744
MH,,"1100",NZ29435005,CH,C,"91940",429503,543085,91.8211643678161
MH,"91177","1855",NZ29435012,CH,C,"91220",429506.459,543028.981,90.8465134308076
MH,"91280","1925",NZ29435011,CH,C,"91250",429512.709,543024.536,90.7857995057656
MH,,,NZ29435110,CH,C,"92720",429516,543116.5,90.9496287356322
MH,,"1010",NZ29435007,CH,C,"91300",429516.53,543008.59,90.5844801729814
MH,"90915","920",NZ29435008,CH,C,"91290",429530,543012,90.614868616145
MH,,"1730",NZ29435004,CH,C,"92910",429534,543099.999,92.2025455126456
Null,,,NZ29435009,J,C,"92220",429546.008,543042.934,91.2193913581129
MH,,,NZ29435003,CH,C,"92000",429550,543029.5,90.9340207290922
MH,,"1930",NZ29435108,CH,C,"93140",429551.5,543109,92.396
MH,,,NZ29435010,CH,C,"92230",429556.134,543032.563,91.063083148677
MH,,,NZ29435002,CH,C,"92890",429573,543041,91.4183112937813
MH,,,NZ29435111,CH,F,"94450",429584.316,543110.062,93.174607255183
MH,,"3340",NZ29435101,CH,C,"94520",429588.571,543101.566,93.0098520943529
MH,,"3360",NZ29436008,CH,C,"94030",429602.16,543072.03,92.4261550750546
MH,,"720",NZ29436003,CH,C,"94040",429607.34,543065.286,92.3117501572545
MH,,,NZ29436106,CH,C,"94980",429608.876,543117.564,93.5773499928522
MH,,,NZ29436004,CH,C,"93090",429620.662,543039.385,91.8126569656901
MH,,,NZ29436005,CH,C,"92720",429621.5,543012,91.1646157969979
MH,,,NZ29436010,CH,C,"94540",429621.511,543078.123,92.7478393102221
MH,,,NZ29436009,CH,C,"94450",429623.393,543074.113,92.6689295675484
MH,,,NZ29436002,CH,F,"94050",429646.618,543062.531,92.6026326840592
MH,,,NZ29436006,CH,F,"92910",429648,543030,91.8363277340958
MH,,,NZ29436007,CH,F,"92980",429648.975,543035.965,91.9880003037874
MH,,,NZ29436001,CH,F,"94090",429662.5,543065,92.8060346676197
MH,,,NZ29426919,CH,S,"92100",429672.99,542986.044,91.0109643888489
MH,,,NZ29432006,CH,C,"91120",429276.055,543065.67,90.4503939236109
MH,,,NZ29422908,CH,C,"91240",429277.81,542996.053,90.7235284635418
MH,,,NZ29432005,CH,C,"91070",429297.777,543078.046,90.5122740486114
MH,,,NZ29433008,CH,C,"91040",429307.152,543080.611,90.5359599079858
MH,,,NZ29433001,CH,C,"90900",429310,543004,90.8593619791667
MH,,,NZ29433010,CH,C,"91210",429311.404,543026.139,90.7826192100695
MH,,"1960",NZ2943HD01,CH,S,"90980",429313.315,543101.87,90.363402962963
MH,,,NZ29433106,CH,C,"90600",429320.493,543122.069,90.2062680028934
MH,,,NZ29433009,CH,C,"91110",429321.999,543055.186,90.7270627083334
MH,,,NZ2943HD03,CH,S,"90760",429329.33,543004.75,90.9561872395834
MH,,,NZ29433107,CH,C,"90600",429339.143,543102.465,90.4908596325234
MH,,"1170",NZ2943HD02,CH,S,"91100",429340.643,543050.881,90.8395264322914
MH,,,NZ29433002,CH,C,"90820",429350,543013,91.0314713541667
MH,,,NZ29433006,CH,C,"90960",429356,543074,90.8310112847222
MH,,,NZ29433102,CH,C,"90570",429363.805,543110.468,90.5411007164352
Null,,,NZ29423914,J,C,"90610",429368.943,542979.883,91.2505035242827
MH,,,NZ29423901,CH,C,"90610",429369.452,542978.994,91.2364692339951
MH,,,NZ2942P091,CH,C,"90650",429371.283,542979.287,91.2255061600443
MH,,,NZ29433003,CH,C,"91060",429375,543026,91.1110633680556
MH,,,NZ29433005,CH,C,"91100",429391.053,543068.437,91.0328560156249
MH,,,NZ29423909,CH,C,"90880",429392,542995,91.2418217439293
MH,,,NZ29434006,CH,C,"91180",429401.85,543038.025,91.2038930121529
MH,,,NZ29434101,CH,C,"90910",429403.27,543101.927,90.8266855653934
MH,,,NZ29434005,CH,C,"91090",429414.931,543079.34,91.103911834491
MH,,,NZ29424903,CH,S,"91030",429415.844,542982.266,90.9116955386309
