ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,xcoord,ycoord,zcoord
MH,,,NZ42485704,CH,C,"51350",442592.339,548766.092,50.9586072378362
MH,,,NZ42486802,CH,C,"50440",442611,548827,49.2672241484185
MH,,,NZ42486806,CH,C,"47400",442617.5,548870.5,48.1501878453039
MH,,"720",NZ42486807,CH,C,"47800",442636,548863,47.5971491712707
MH,,,NZ42486803,CH,C,"49050",442641.562,548815.928,48.2975828503666
MH,,"540",NZ42486808,CH,C,"47120",442644.764,548867.098,47.0818730607725
MH,,,NZ42486703,CH,C,"49260",442648.315,548794.107,48.3980837706818
MH,,,NZ42486809,CH,C,"45520",442656,548869,46.5322209944751
MH,,,NZ42486702,CH,C,"49350",442656.427,548776.876,48.3729013059594
MH,,"2000",NZ42486801,CH,C,"45920",442660,548852.25,46.9134696132597
MH,,,NZ42486701,CH,C,"49090",442665.976,548773.238,48.0728412627726
Null,,,NZ42486704,CE,S,"48720",442694.966,548751.922,47.3287482445247
MH,,,NZ42487711,CH,S,"47740",442705.844,548757.149,46.8346826447699
MH,,,NZ42487702,CH,C,"49680",442706,548717.5,47.4729425182482
MH,,"1290",NZ42487703,CH,C,"48570",442709.093,548737.511,47.031513416666
Null,,,NZ4248P025,RE,S,"47840",442727.439,548731.808,46.4341234008517
MH,,,NZ42487814,CH,C,"42330",442727.95,548858.083,43.7771196906078
Null,,,NZ4248A013,ATC,S,"47840",442728.626,548732.82,46.3730366362524
Null,,,NZ4248P020,RE,S,"48200",442730.96,548721.027,46.4768350267632
Null,,,NZ42487810,ZZZ,S,"43220",442731.411,548830.607,44.5367989834258
Null,,,NZ42487773,J,S,"47360",442732.169,548735.842,46.1906808083952
Z,,,NZ4248P024,PC,S,"47640",442732.206,548734.118,46.2172968041358
Null,,,NZ4248A014,ATC,S,"48200",442732.214,548722.032,46.4133419428231
MH,,,NZ4248P021,CH,F,"48200",442732.463,548720.917,46.4220904251826
MH,,"460",NZ42486911,CH,C,"41250",442657,548978,44.4597638190955
Null,,,NZ42486919,J,C,"40390",442672.465,548980.968,43.9662145025121
MH,,"710",NZ42486910,CH,C,"40850",442660,548981,44.2905879396985
MH,,,NZ42485904,CH,C,"45100",442555,548987.5,46.8342462311558
Null,,,NZ42486906,J,C,"41970",442629.5,548991,44.7837386934673
MH,,"470",NZ42486908,CH,C,"41130",442649,548994,44.1839045226131
MH,,"850",NZ42486909,CH,C,"40910",442653,548994,44.0795025125628
Null,,,NZ42486918,J,C,"40330",442662.536,548997.838,43.7143495075374
MH,,"710",NZ42486907,CH,C,"40760",442651,548998,44.0105376884422
MH,,"390",NZ42496012,CH,C,"40640",442640,549010,43.9341457286432
MH,,,NZ42496013,CH,C,"40640",442643,549012,43.7952613065327
Null,,,NZ42496018,J,C,"40100",442651.975,549015.784,43.4463864221116
MH,,,NZ42496002,CH,C,"41470",442610.473,549024.704,44.2594096783912
MH,,"570",NZ42496011,CH,C,"40360",442637,549025,43.5580753768844
Null,,,NZ42496017,J,C,"39980",442645.806,549026.265,43.2899156582915
MH,,"400",NZ42496010,CH,C,"40550",442631,549027,43.6540954773869
MH,,,NZ42496001,CH,C,"41380",442603.896,549036.659,44.068938311558
MH,,"620",NZ42496009,CH,C,"40650",442617,549041,43.5954221105528
MH,,,NZ42495007,CH,C,"43380",442545.212,549042.11,45.4355014673371
MH,,"600",NZ42496008,CH,C,"40500",442619,549047,43.361472361809
MH,,,NZ42496003,CH,C,"39770",442631.226,549051.041,42.9164945349667
MH,,,NZ42495006,CH,C,"41250",442589.643,549061.605,43.1608097972045
MH,,,NZ42496007,CH,C,"40020",442615,549064,42.3902517482517
Null,,,NZ42496015,J,C,"39690",442621.856,549068.18,41.9334400139817
MH,,,NZ42495005,CH,C,"41300",442571.388,549081.981,42.1610395629356
MH,,"550",NZ42496006,CH,C,"40270",442602,549084,41.2921503496503
MH,,"760",NZ42496005,CH,C,"40180",442602,549089,40.9404545454545
Null,,,NZ42496014,J,C,"39540",442608.994,549091.706,40.5840459580414
MH,,"540",NZ42495012,CH,C,"40610",442587,549094,40.9449300699301
MH,,,NZ42497001,CH,C,"36280",442712.278,549095.219,37.884491185312
MH,,"2210",NZ42496004,CH,C,"39530",442606.934,549095.476,40.3677815174806
MH,,"560",NZ42484409,CH,C,"62280",442445,548407,60.9489270833333
MH,,,NZ42484310,CH,C,"63250",442445,548376,61.7974375
MH,,"1630",NZ42484304,CH,C,"63790",442446.974,548356.98,61.6502788750006
MH,,"710",NZ42484416,CH,C,"61190",442448,548433,58.429375
MH,,"550",NZ42484410,CH,C,"62450",442448,548403,61.1750729166667
MH,,"780",NZ42484402,CH,C,"60280",442448.528,548452.015,57.9438167045461
MH,,"750",NZ42484307,CH,C,"62590",442451,548392,61.5300625
MH,,"820",NZ42484309,CH,C,"62910",442454,548381,61.3500625
MH,,"640",NZ42484417,CH,C,"61170",442457.348,548423.235,58.7787881666681
MH,,"630",NZ42484313,CH,C,"63560",442458,548345,61.0580625
MH,,"740",NZ42484311,CH,C,"62980",442459,548370,61.0679375
MH,,"660",NZ42484312,CH,C,"63340",442460,548350,60.968125
MH,,"680",NZ42484418,CH,C,"60860",442466,548416,59.0231145833333
MH,,"700",NZ42484419,CH,C,"61090",442468,548412,59.3003229166667
MH,,"530",NZ42484422,CH,C,"61160",442471,548401,60.1903020833333
Null,,,NZ42484428,J,C,"60060",442473.942,548425.83,57.6853645416716
MH,,"610",NZ42484319,CH,C,"61350",442476,548389,60.2461875
MH,,"480",NZ42484420,CH,C,"60180",442478,548415,58.5051979166667
MH,,"400",NZ42484421,CH,C,"60260",442480,548409,58.9720729166667
MH,,"650",NZ42484320,CH,C,"61240",442480,548377,60.0126875
MH,,"690",NZ42484403,CH,C,"59840",442480.405,548419.173,57.9866531041698
MH,,"790",NZ42484325,CH,C,"61900",442482,548349,59.8423125
MH,,"790",NZ42484324,CH,C,"61880",442483,548360,59.8180625
MH,,"450",NZ42484321,CH,C,"60660",442484,548398,59.8109895833333
MH,,"890",NZ42484323,CH,C,"61670",442484,548365,59.7791875
MH,,"450",NZ42484322,CH,C,"60550",442488,548385,59.6236875
MH,,,NZ42484328,CH,C,"60920",442491,548343,59.368125
MH,,,NZ42484326,CH,C,"61040",442493,548361,59.309875
Null,,,NZ42484340,J,C,"60920",442493.159,548343.707,59.2596043750009
Null,,,NZ42484339,J,C,"60620",442495.675,548362.083,59.1759226250006
MH,,"1040",NZ42484305,CH,C,"60190",442496.816,548370.415,59.1379695625005
Null,,,NZ42484220,J,C,"64090",442411.848,548291.651,63.2846608125
MH,,,NZ42484204,CH,C,"64090",442413,548291,63.22425
MH,,"1400",NZ42484318,CH,C,"64150.00000000001",442418,548300,62.990875
MH,,,NZ42484301,CH,C,"64120.00000000001",442428.5,548314.5,62.4900625
MH,,,NZ42484213,CH,C,"64200",442430,548240,62.9959375
MH,,"1710",NZ42484214,CH,C,"64230.00000000001",442430.207,548233.068,63.0181296999998
Null,,,NZ42484223,CE,C,"64239.99999999999",442431.161,548259,62.4377619999996
Null,,,NZ42484224,J,C,"64220",442433.523,548237.477,62.9938007999998
MH,,,NZ42484302,CH,C,"64069.99999999999",442436.238,548325.856,62.1226211249995
Null,,,NZ42484222,CE,C,"63300",442437.701,548268.74,62.0297545000002
Null,,,NZ42484338,J,C,"64180.00000000001",442439.855,548336.344,61.9634925625011
MH,,,NZ42484317,CH,C,"63920",442440,548326,61.930875
MH,,,NZ42484315,CH,C,"64060",442443,548335,61.799625
MH,,,NZ42484203,CH,C,"63350",442444.56,548252.153,62.3556543749987
MH,,,NZ42484212,CH,C,"62440",442447.241,548262.72,62.0034970000012
MH,,,NZ42484201,CH,C,"62220",442449,548258.5,62.086125
MH,,"570",NZ42484316,CH,C,"63620",442450,548325,61.4178125
MH,,"590",NZ42484314,CH,C,"63740",442454,548335,61.2379375
MH,,,NZ42484211,CH,C,"62240",442457,548270,61.5986875
MH,,,NZ42484208,CH,C,"63220",442459,548297,60.89
MH,,"1340",NZ42484210,CH,C,"62010",442466,548283,61.0485625
MH,,"570",NZ42484333,CH,C,"62650",442467,548310,60.5131875
MH,,"1210",NZ42484209,CH,C,"62200",442469,548287,60.8745625
