DateLaid,Material,Diameter,NetworkFun,ReviewAge,ReviewDiam,ReviewMate,ID,length,straightdis,sinuosity
27-02-2019,HPPE,"180",DISTRIBUTION,"2019","180",HPPE,WTE-MN1330139,14.7835046798078,10.5666268033332,1.39907512160309
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-549997,164.474752071455,163.556464259282,1.00561450026651
01-01-2013,MDPE,"50",DISTRIBUTION,"2013","50",MDPE,WTE-MN1332350,1.73753302125271,1.73753302125271,1
01-01-2013,HPPE,"90",DISTRIBUTION,"2013","90",HPPE,WTE-MN1332347,20.8746598927713,15.9602495280914,1.3079156347794
01-01-2013,MDPE,"50",DISTRIBUTION,"2013","50",MDPE,WTE-MN1332345,9.91342372748619,9.91342372748619,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-MN1370058,46.14298824304,46.14298824304,1
,MDPE,"50",PRIVATE,,,,WTE-MN1332343,62.2700650392877,62.2700650392877,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-MN1330137,3.26436471616866,3.26436471616866,1
01-01-2017,HPPE,"90",DISTRIBUTION,"2017","90",HPPE,WTE-MN1366261,1.99712718678168,1.99712718678168,1
,MDPE,"32",FIRE,,,,WTE-MN1332348,55.7713053460813,55.7713053460813,1
01-01-2017,HPPE,"90",DISTRIBUTION,"2017","90",HPPE,WTE-MN1370059,60.8801698420709,60.8801698420709,1
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-549993,4.19917730040121,4.19917730040121,1
01-01-1991,PE,"63",DISTRIBUTION,"1991","63",PE,WTE-MN1361427,10.6876227478416,10.6876227478416,1
01-01-1991,PE,"63",DISTRIBUTION,"1991","63",PE,WTE-550052,2.7707489961354,2.7707489961354,1
01-01-2016,MDPE,"32",DISTRIBUTION,"2016","32",MDPE,WTE-MN1361428,14.0010958107501,11.3586631695733,1.23263588344226
01-01-1991,PE,"63",DISTRIBUTION,"1991","63",PE,WTE-550050,2.40884308331674,2.40884308331674,1
